run_date,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,mapping_status,mapping_note
2026-02-27,49,AF1QipM0yvLYq5gh5dD0jBeZ7QVjN21Ze4e4PZTa41m2,2026-02-27,2026-02-27T16:15:03.412000-08:00,https://lh3.googleusercontent.com/pw/AP1GczM7PiSEtK6d9-UdjXGsEFFBXOH3kMR1qHZYJRMDjuLJMSKARljMCp8YcJIzhIZYj-0EVSPCoWFk27_9AuW6ECvQl6rI7J6_iNDywaYzl85svI4yOoTY,tomato,23T,,Heinz 9129,Heinz 9129,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,50,AF1QipN5DqCCkcW274dmS91S3YUqca660Mf_KV-k4Uuu,2026-02-27,2026-02-27T16:15:25.015000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNTaJ-tSOVSpMxV6P65xAe8SNcw1JT4LVKF7AbQmYguVqn5y4tNTeGGlGZ917AZmHE9RLyGM30bQ-iPamIuRI1uJk-1HHsRzm4Gt2QHbaAFTbnKpaCS,tomato,24T,2,Gold Dust,Gold Dust,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; variety_from_historical_pot_mapping
2026-02-27,51,AF1QipNODrVzJesRuXtXzBS4-drd3kbt24GJVefWTk2i,2026-02-27,2026-02-27T16:16:22.009000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNTS-bUm9nm0Hw0P5NlbEtHRYWEPNgF95SkbDkJ1J4tx57nYWzNMiMd9U-FU00TDrliiQCdVRLdDbFTDPw7jg1sO7q5ddLFvKmMSw5TvLMGoJFvCmaW,tomato,25T,2,Heinz 9129,Heinz 9129,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,52,AF1QipNdeVT-5e36OTyiL2lMm7CBCmO9kGQLrkK_u0RW,2026-02-27,2026-02-27T16:16:40.842000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMX3e8-MVjyk91zng4gVqOtNGy-8qhIkH1rZfC458Xjs_iyCMGlfq7DAuBtc2wY2jSKMU7Xy3vKpErkvOZsMVl1uXZnYVGg2in9HghU9mZk4oJzYYnw,tomato,26T,9,Heinz 9129,Heinz 9129,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,53,AF1QipPWgrm0c2e2ueay8ltxkNXZmYWr_MEy6B3wWNyW,2026-02-27,2026-02-27T16:17:06.862000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOfHQxNmKBdk7ZFHkOMlEGi496BC8jUarmCshEU_3KpOsrrXE-9o8SRQ6sT3ELgs0iMEmo1sHa3-SysAn8stONXBx6SopZhBF9isZhNVDX3Mmu4j0Ba,tomato,27T,4,Taxi,Taxi,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; series_from_manual_pot_override
2026-02-27,54,AF1QipNNWpiy8RVHX96LLFVf8jWo7bcfr96LcWxlhLoN,2026-02-27,2026-02-27T16:17:34.471000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMSHh1oMxqHzVlUN07FbSMcpjsWqxVjuCodRU71YxaUrEs5UrDGo2dqrhFj5j5EjXdurSa20rzTatYyg4LTpFXkP0db93AMiaJTB4eOBPcRj9Xu3HCF,tomato,28T,5,Nikolayev Yellow Cherry,Nikolayev Yellow Cherry,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
2026-02-27,55,AF1QipPl7rTGp9wwRZiLbaU7kO7c2HuMQ9t4Tpi1hSgo,2026-02-27,2026-02-27T16:17:53.526000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMRYWGmryb52EBT1UAO8SZEjuVm-NlKe9r2OGoYj-TJXC1BeFniWJ5jHv5YaJrAs8egHVSkqZE4cyoOpxlBgPu2VgAb_3nCNLkQVcaR4D9Kk7Ahiru8,tomato,29T,7,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number
2026-02-27,56,AF1QipN537ybNXCCXSFj6NaQyygBKMS8sEZRVnfUYAhQ,2026-02-27,2026-02-27T16:18:17.438000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPwLEoLlIsnSbPckw0lN7WT-HCyeEyamNGNItnqKWZ9YIMC4fTg2RJWP15GoFjsnbdCgUaG-ui9GTOe1voY6afF9YQiTYdTu29eh1_1lAyIltESJrHA,tomato,30T,7,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; series_from_manual_pot_override
2026-02-27,57,AF1QipPgDMe3CWYmipAB-no13igQfPJRtD0OwTtO982r,2026-02-27,2026-02-27T16:18:37.571000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPL_UlZIqmWCRXreoAvF62QWFTXrEBM-geNIgKs8LVYUcgqv_Gr02OP1HkCNMEaq23UW49ymVsbqUYKYnFH5gxoHLFfXlLMDKVkfguUZPgaasi00r5_,tomato,31T,3,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,
2026-02-27,58,AF1QipPW_xrbboWWeCEJUDigNayqwBG7NHzHDD0oShYP,2026-02-27,2026-02-27T16:18:58.684000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMNSZHB4XRKLIzpLkXPYvWTjxdEHrXGHtfXDF0FMlGk1r56HuODaGe-oHpag-RbVhZGnBwOBOtKzDaw2gErXucV4qry4xhDqnUk9I1dpfoNpKGdgOWB,tomato,32T,7,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number
